"Gene","P_Value","Patients","Significant","Low_Group","Medium_Group","High_Group","P_Value_Formatted"
"RASSF1",0.788531625463869,149,"No",50,49,50,"0.7885"
"RASSF7",0.494976742321138,149,"No",50,49,50,"0.4950"
"RASSF2",0.0272045183417611,149,"Yes",50,49,50,"0.0272"
"RASSF4",0.543689313970228,149,"No",50,49,50,"0.5437"
"RASSF8",0.116118398338194,149,"No",50,49,50,"0.1161"
"RASSF3",0.218971243718997,149,"No",50,49,50,"0.2190"
"RASSF6",0.933168326854751,149,"No",52,49,48,"0.9332"
"RASSF10",0.344427879761094,149,"No",56,46,47,"0.3444"
"RASSF9",0.44066879802709,149,"No",50,49,50,"0.4407"
"RASSF5",0.420626473560987,149,"No",50,49,50,"0.4206"
